ag,capacity,date,geoGrp,latitude,longitude,lunchDur,lunchEnd,lunchStart,scheduleEnd,scheduleStart,technicianId,timeZone
,,,TFS_AL_BHAM_IPDSLAM_INST_T,,,,,,,,,
,,,TFS_AL_BHAM_IPDSLAM_INST_T,,,,,,,,,
,,,TFS_AL_BHAM_IPDSLAM_INST_T,,,,,,,,,
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_SPRINGFIELD_T,39.76413,-89.67831,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,DD7569,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_SPRINGFIELD_T,39.76413,-89.67831,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,RS4541,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_SPRINGFIELD_T,39.76413,-89.67831,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,JK3415,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_SPRINGFIELD_T,39.76413,-89.67831,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,GC6413,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_SPRINGFIELD_T,39.76413,-89.67831,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,TS2175,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_PETERSBURG_T,40.009325,-89.849266,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,DB2852,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_BEARDSTOWN_T,40.009325,-89.849266,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,RX1753,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_LAPLACE_T,30.065755,-90.480871,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,AJ1592,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_HANCOCK_T,29.928991,-90.048244,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,DS4073,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_HANCOCK_T,29.928991,-90.048244,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,AO7382,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_HANCOCK_T,29.928991,-90.048244,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,GF7140,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_HANCOCK_T,29.928991,-90.048244,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,LD403R,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_LAPLACE_T,30.065755,-90.480871,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,SS6999,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_HANCOCK_T,29.928991,-90.048244,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,FD319R,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_LAPLACE_T,30.065755,-90.480871,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,AA2661,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_HANCOCK_T,29.928991,-90.048244,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,GJ0737,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_LAPLACE_T,30.065755,-90.480871,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,PC6187,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_HANCOCK_T,29.766576,-90.030208,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,LC0765,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_HANCOCK_T,29.928991,-90.048244,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,PR827H,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_HANCOCK_T,29.929331,-90.048323,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,WG136D,CENTRAL
LA_WEST_N_ORLEANS_T,450.0,2019-06-20,TFS_LA_HANCOCK_T,29.928991,-90.048244,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,DH806V,CENTRAL
