ag,date,end,lastUpdated,minutes,run,service,start,status
TX_N_HOU_SPRING_E,2019-06-17,2019-06-17 16:39:19,2019-06-17 16:39:19,0.0,1,SameLocation,2019-06-17 16:39:12,DONE
TX_LUBBOCK_E,2019-06-17,2019-06-17 16:39:18,2019-06-17 16:39:18,0.0,1,SameLocation,2019-06-17 16:39:12,DONE
TX_LUBBOCK_E,2019-06-17,2019-06-17 16:43:53,2019-06-17 16:43:53,4.0,1,DistanceMatrix,2019-06-17 16:39:18,DONE
TX_SNAN_NORTH_E,2019-06-17,2019-06-17 16:46:51,2019-06-17 16:46:51,7.0,1,DistanceMatrix,2019-06-17 16:39:18,DONE
TX_N_HOU_SPRING_E,2019-06-17,2019-06-17 16:47:18,2019-06-17 16:47:18,7.0,1,DistanceMatrix,2019-06-17 16:39:19,DONE
IL_CHI_SUBN_NORTH_E,2019-06-17,2019-06-17 16:39:30,2019-06-17 16:39:30,0.0,1,SameLocation,2019-06-17 16:39:25,DONE
AR_OK_FTSM_FYVL_E,2019-06-17,2019-06-17 16:39:36,2019-06-17 16:39:36,0.0,1,SameLocation,2019-06-17 16:39:27,DONE
IL_CHI_SUBN_NORTH_E,2019-06-17,2019-06-17 16:47:04,2019-06-17 16:47:04,7.0,1,DistanceMatrix,2019-06-17 16:39:30,DONE
MO_ST_LOUIS_NORTH_T,2019-06-17,2019-06-17 16:39:35,2019-06-17 16:39:35,0.0,1,SameLocation,2019-06-17 16:39:33,DONE
IL_ILLINOIS_NORTH_E,2019-06-17,2019-06-17 16:39:40,2019-06-17 16:39:40,0.0,1,SameLocation,2019-06-17 16:39:34,DONE
MO_KSCY_SOUTHEAST_T,2019-06-17,2019-06-17 16:39:39,2019-06-17 16:39:39,0.0,1,SameLocation,2019-06-17 16:39:35,DONE
MO_ST_LOUIS_NORTH_T,2019-06-17,2019-06-17 16:45:29,2019-06-17 16:45:29,5.0,1,DistanceMatrix,2019-06-17 16:39:35,DONE
TX_FT_WORTH_MAIN_T,2019-06-17,2019-06-17 16:39:37,2019-06-17 16:39:37,0.0,1,SameLocation,2019-06-17 16:39:36,DONE
AR_OK_FTSM_FYVL_E,2019-06-17,2019-06-17 16:44:47,2019-06-17 16:44:47,5.0,1,DistanceMatrix,2019-06-17 16:39:36,DONE
TX_FT_WORTH_MAIN_T,2019-06-17,2019-06-17 16:44:24,2019-06-17 16:44:24,4.0,1,DistanceMatrix,2019-06-17 16:39:37,DONE
MO_KSCY_SOUTHEAST_T,2019-06-17,2019-06-17 16:46:49,2019-06-17 16:46:49,7.0,1,DistanceMatrix,2019-06-17 16:39:39,DONE
IL_ILLINOIS_NORTH_E,2019-06-17,2019-06-17 16:47:58,2019-06-17 16:47:58,8.0,1,DistanceMatrix,2019-06-17 16:39:40,DONE
TX_SOUTHWEST_HSTN_T,2019-06-17,2019-06-17 16:39:55,2019-06-17 16:39:55,0.0,1,SameLocation,2019-06-17 16:39:43,DONE
TX_SNAN_SOUTHEAST_E,2019-06-17,2019-06-17 16:39:51,2019-06-17 16:39:51,0.0,1,SameLocation,2019-06-17 16:39:44,DONE
TX_FTWO_MIDCITIES_E,2019-06-17,2019-06-17 16:39:54,2019-06-17 16:39:54,0.0,1,SameLocation,2019-06-17 16:39:47,DONE
TX_AUST_NORTHEAST_E,2019-06-17,2019-06-17 16:40:09,2019-06-17 16:40:09,0.0,1,SameLocation,2019-06-17 16:39:51,DONE
TX_SNAN_SOUTHEAST_E,2019-06-17,2019-06-17 16:45:48,2019-06-17 16:45:48,5.0,1,DistanceMatrix,2019-06-17 16:39:51,DONE
TX_N_HOU_ALMEDA_E,2019-06-17,2019-06-17 16:39:59,2019-06-17 16:39:59,0.0,1,SameLocation,2019-06-17 16:39:54,DONE
TX_FTWO_MIDCITIES_E,2019-06-17,2019-06-17 16:45:49,2019-06-17 16:45:49,5.0,1,DistanceMatrix,2019-06-17 16:39:54,DONE
TX_SOUTHWEST_HSTN_T,2019-06-17,2019-06-17 16:47:52,2019-06-17 16:47:52,7.0,1,DistanceMatrix,2019-06-17 16:39:55,DONE
IL_SUBURBAN_WEST_E,2019-06-17,2019-06-17 16:40:00,2019-06-17 16:40:00,0.0,1,SameLocation,2019-06-17 16:39:56,DONE
KS_EAST_T,2019-06-17,2019-06-17 16:40:05,2019-06-17 16:40:05,0.0,1,SameLocation,2019-06-17 16:39:56,DONE
AR_LTRK_METRO_E,2019-06-17,2019-06-17 16:40:07,2019-06-17 16:40:07,0.0,1,SameLocation,2019-06-17 16:39:57,DONE
OK_OKCY_NORTH_E,2019-06-17,2019-06-17 16:40:03,2019-06-17 16:40:03,0.0,1,SameLocation,2019-06-17 16:39:58,DONE
TX_SNAN_METRO_T,2019-06-17,2019-06-17 16:40:04,2019-06-17 16:40:04,0.0,1,SameLocation,2019-06-17 16:39:59,DONE
TX_N_HOU_ALMEDA_E,2019-06-17,2019-06-17 16:46:02,2019-06-17 16:46:02,6.0,1,DistanceMatrix,2019-06-17 16:39:59,DONE
IL_SUBURBAN_WEST_E,2019-06-17,2019-06-17 16:47:44,2019-06-17 16:47:44,7.0,1,DistanceMatrix,2019-06-17 16:40:00,DONE
KS_MO_KCY_SOUTH_E,2019-06-17,2019-06-17 16:40:07,2019-06-17 16:40:07,0.0,1,SameLocation,2019-06-17 16:40:01,DONE
OK_OKCY_NORTH_E,2019-06-17,2019-06-17 16:46:07,2019-06-17 16:46:07,6.0,1,DistanceMatrix,2019-06-17 16:40:03,DONE
TX_SNAN_METRO_T,2019-06-17,2019-06-17 16:47:36,2019-06-17 16:47:36,7.0,1,DistanceMatrix,2019-06-17 16:40:04,DONE
TX_N_HOU_ALMDA_EST_E,2019-06-17,2019-06-17 16:40:07,2019-06-17 16:40:07,0.0,1,SameLocation,2019-06-17 16:40:04,DONE
TX_FTWO_SOUTHWEST_E,2019-06-17,2019-06-17 16:40:10,2019-06-17 16:40:10,0.0,1,SameLocation,2019-06-17 16:40:04,DONE
KS_EAST_T,2019-06-17,2019-06-17 16:47:29,2019-06-17 16:47:29,7.0,1,DistanceMatrix,2019-06-17 16:40:05,DONE
TX_N_HOU_ALMDA_EST_E,2019-06-17,2019-06-17 16:45:10,2019-06-17 16:45:10,5.0,1,DistanceMatrix,2019-06-17 16:40:07,DONE
AR_LTRK_METRO_E,2019-06-17,2019-06-17 16:47:44,2019-06-17 16:47:44,7.0,1,DistanceMatrix,2019-06-17 16:40:07,DONE
KS_MO_KCY_SOUTH_E,2019-06-17,2019-06-17 16:46:44,2019-06-17 16:46:44,6.0,1,DistanceMatrix,2019-06-17 16:40:07,DONE
TX_AUST_NORTHEAST_E,2019-06-17,2019-06-17 16:47:12,2019-06-17 16:47:12,7.0,1,DistanceMatrix,2019-06-17 16:40:09,DONE
TX_EL_PASO_E,2019-06-17,2019-06-17 16:40:17,2019-06-17 16:40:17,0.0,1,SameLocation,2019-06-17 16:40:09,DONE
TX_FTWO_SOUTHWEST_E,2019-06-17,2019-06-17 16:47:05,2019-06-17 16:47:05,6.0,1,DistanceMatrix,2019-06-17 16:40:10,DONE
IL_CHI_SUBN_SOUTH_E,2019-06-17,2019-06-17 16:40:20,2019-06-17 16:40:20,0.0,1,SameLocation,2019-06-17 16:40:17,DONE
TX_EL_PASO_E,2019-06-17,2019-06-17 16:46:08,2019-06-17 16:46:08,5.0,1,DistanceMatrix,2019-06-17 16:40:17,DONE
MO_S_EST_AR_N_EST_T,2019-06-17,2019-06-17 16:40:27,2019-06-17 16:40:27,0.0,1,SameLocation,2019-06-17 16:40:20,DONE
