ag,date,end,lastUpdated,minutes,run,service,start,status
FL_S_DADE_WEST_E,2019-06-07,2019-06-07 05:39:00,2019-06-07 05:39:00,8.0,1,LoadData,2019-06-07 05:30:28,DONE
OH_CLEVELAND_WEST_T,2019-06-07,2019-06-07 05:34:09,2019-06-07 05:34:09,3.0,1,LoadData,2019-06-07 05:30:28,DONE
WI_MI_OUTSTATE_T,2019-06-07,2019-06-07 05:34:31,2019-06-07 05:34:31,4.0,1,LoadData,2019-06-07 05:30:29,DONE
MO_STLS_CENTRAL_E,2019-06-07,2019-06-07 05:32:36,2019-06-07 05:32:36,2.0,1,LoadData,2019-06-07 05:30:36,ERROR
NC_CHARLOTTE_GASTN_E,2019-06-07,2019-06-07 05:38:32,2019-06-07 05:38:32,7.0,1,LoadData,2019-06-07 05:30:37,DONE
MI_DETROIT_EAST_E,2019-06-07,2019-06-07 05:36:59,2019-06-07 05:36:59,6.0,1,LoadData,2019-06-07 05:30:37,DONE
TN_N_NSVL_NORTH_E,2019-06-07,2019-06-07 05:39:58,2019-06-07 05:39:58,9.0,1,LoadData,2019-06-07 05:30:37,DONE
TX_SNAN_SOUTHEAST_E,2019-06-07,2019-06-07 05:33:46,2019-06-07 05:33:46,3.0,1,LoadData,2019-06-07 05:30:41,ERROR
TX_SNAN_SOUTHWEST_E,2019-06-07,2019-06-07 05:33:24,2019-06-07 05:33:24,2.0,1,LoadData,2019-06-07 05:30:41,ERROR
TX_FTWO_NORTH_E,2019-06-07,2019-06-07 05:34:33,2019-06-07 05:34:33,3.0,1,LoadData,2019-06-07 05:30:51,ERROR
TX_DLLS_CENTRAL_E,2019-06-07,2019-06-07 05:34:29,2019-06-07 05:34:29,3.0,1,LoadData,2019-06-07 05:30:51,ERROR
TX_AUST_SOUTH_E,2019-06-07,2019-06-07 05:32:34,2019-06-07 05:32:34,1.0,1,LoadData,2019-06-07 05:30:51,ERROR
TX_AUST_NORTHWEST_E,2019-06-07,2019-06-07 05:33:06,2019-06-07 05:33:06,2.0,1,LoadData,2019-06-07 05:30:52,ERROR
MO_SPRINGFIELD_E,2019-06-07,2019-06-07 05:32:33,2019-06-07 05:32:33,1.0,1,LoadData,2019-06-07 05:30:52,ERROR
TX_FTWO_SOUTHEAST_E,2019-06-07,2019-06-07 05:34:02,2019-06-07 05:34:02,3.0,1,LoadData,2019-06-07 05:30:52,ERROR
TX_SNAN_NORTH_E,2019-06-07,2019-06-07 05:33:48,2019-06-07 05:33:48,2.0,1,LoadData,2019-06-07 05:30:52,ERROR
TX_FTWO_SOUTH_E,2019-06-07,2019-06-07 05:34:07,2019-06-07 05:34:07,3.0,1,LoadData,2019-06-07 05:30:52,ERROR
TX_N_HOU_AIRLINE_E,2019-06-07,2019-06-07 05:35:50,2019-06-07 05:35:50,4.0,1,LoadData,2019-06-07 05:30:52,ERROR
TX_MIDLAND_ODESSA_E,2019-06-07,2019-06-07 05:32:14,2019-06-07 05:32:14,1.0,1,LoadData,2019-06-07 05:30:52,ERROR
TX_N_HOU_PARKWEST_E,2019-06-07,2019-06-07 05:35:24,2019-06-07 05:35:24,4.0,1,LoadData,2019-06-07 05:31:00,ERROR
NC_ASHEVILLE_MTNS_E,2019-06-07,2019-06-07 05:38:55,2019-06-07 05:38:55,7.0,1,LoadData,2019-06-07 05:31:06,DONE
KY_LOUISVILLE_EAST_E,2019-06-07,2019-06-07 05:38:21,2019-06-07 05:38:21,7.0,1,LoadData,2019-06-07 05:31:06,DONE
OH_DAYTON_T,2019-06-07,2019-06-07 05:38:33,2019-06-07 05:38:33,7.0,1,LoadData,2019-06-07 05:31:06,DONE
OK_TULSA_E,2019-06-07,2019-06-07 05:34:35,2019-06-07 05:34:35,3.0,1,LoadData,2019-06-07 05:31:06,ERROR
WI_MILWAUKEE_STH_E,2019-06-07,2019-06-07 05:36:54,2019-06-07 05:36:54,5.0,1,LoadData,2019-06-07 05:31:06,DONE
MI_IN_LAKESHORE_T,2019-06-07,2019-06-07 05:37:27,2019-06-07 05:37:27,6.0,1,LoadData,2019-06-07 05:31:11,DONE
TN_S_NSVL_SOUTH_E,2019-06-07,2019-06-07 05:40:31,2019-06-07 05:40:31,9.0,1,LoadData,2019-06-07 05:31:12,DONE
TX_LUBBOCK_E,2019-06-07,2019-06-07 05:33:38,2019-06-07 05:33:38,2.0,1,LoadData,2019-06-07 05:31:13,ERROR
MS_SOUTH_E,2019-06-07,2019-06-07 05:38:41,2019-06-07 05:38:41,7.0,1,LoadData,2019-06-07 05:31:14,DONE
OH_INDIANA_SOUTH_E,2019-06-07,2019-06-07 05:34:00,2019-06-07 05:34:00,2.0,1,LoadData,2019-06-07 05:31:15,DONE
KY_LOUISVILLE_WEST_E,2019-06-07,2019-06-07 05:38:40,2019-06-07 05:38:40,7.0,1,LoadData,2019-06-07 05:31:16,DONE
TX_N_CENTRAL_HSTN_T,2019-06-07,2019-06-07 05:33:40,2019-06-07 05:33:40,2.0,1,LoadData,2019-06-07 05:31:17,ERROR
FL_S_POMPANO_BEACH_E,2019-06-07,2019-06-07 05:39:53,2019-06-07 05:39:53,7.0,1,LoadData,2019-06-07 05:31:56,DONE
MI_OH_DOWNRIVER_T,2019-06-07,2019-06-07 05:37:40,2019-06-07 05:37:40,5.0,1,LoadData,2019-06-07 05:31:57,DONE
NC_GREENSBORO_E,2019-06-07,2019-06-07 05:39:28,2019-06-07 05:39:28,7.0,1,LoadData,2019-06-07 05:31:57,DONE
TX_AUST_NORTHEAST_E,2019-06-07,2019-06-07 05:35:21,2019-06-07 05:35:21,3.0,1,LoadData,2019-06-07 05:32:00,ERROR
